"player","ibt_Icon","ibt_PhotoIndex","ibt_IconIndex","ibt_AdjIndex","ibt_Adjective","ibt_Answer","ibt_isAnswerRelevant","ibt_isAnswerCorrect","ibt_IntroTimeDuration","ibt_PrimerDisplayDuration","ibt_ReactionTime"
"350770248683645","person",0,1,1,"kind","NO ANSWER",1,0,2508,21,1009
"350770248683645","person",4,1,3,"bad","NO ANSWER",1,0,2512,22,1008
"350770248683645","person",2,1,1,"kind","NO ANSWER",1,0,2513,21,1012
"350770248683645","person",1,1,3,"bad","NO ANSWER",1,0,2504,23,1012
"350770248683645","person",3,1,5,"untrustworthy","NO ANSWER",1,0,2513,21,1011
"350770248683645","person",2,1,3,"bad","NO ANSWER",1,0,2514,23,1014
"350770248683645","person",1,1,5,"untrustworthy","NO ANSWER",1,0,2519,22,1011
"350770248683645","person",4,1,5,"untrustworthy","NO ANSWER",1,0,2515,22,1010
"350770248683645","person",1,1,1,"kind","NO ANSWER",1,0,2505,22,1008
"350770248683645","person",0,1,5,"untrustworthy","NO ANSWER",1,0,2512,21,1010
"350770248683645","person",3,1,2,"trustworthy","NO ANSWER",1,0,2507,22,1003
"350770248683645","person",0,1,0,"good","NO ANSWER",1,0,2507,22,1008
"350770248683645","person",3,1,3,"bad","NO ANSWER",1,0,2512,23,1004
"350770248683645","person",1,1,0,"good","NO ANSWER",1,0,2510,24,1010
"350770248683645","person",0,1,2,"trustworthy","NO ANSWER",1,0,2513,21,1009
"350770248683645","person",3,1,1,"kind","NO ANSWER",1,0,2518,21,1014
"350770248683645","person",2,1,2,"trustworthy","NO ANSWER",1,0,2504,22,1007
"350770248683645","person",4,1,2,"trustworthy","NO ANSWER",1,0,2509,22,1005
"350770248683645","person",1,1,4,"cruel","NO ANSWER",1,0,2530,22,1013
"350770248683645","house",2,0,0,"leaky","NO ANSWER",0,0,2506,22,1007
"350770248683645","house",3,0,1,"roomy","NO ANSWER",0,0,2516,21,1014
"350770248683645","person",2,1,4,"cruel","NO ANSWER",1,0,2507,21,1011
"350770248683645","person",0,1,3,"bad","NO ANSWER",1,0,2512,22,1013
"350770248683645","house",2,0,4,"drafty","NO ANSWER",0,0,2503,22,1004
"350770248683645","person",3,1,4,"cruel","NO ANSWER",1,0,2506,22,1008
"350770248683645","house",4,0,3,"furnished","NO ANSWER",0,0,2513,20,1010
"350770248683645","person",4,1,4,"cruel","NO ANSWER",1,0,2512,20,1015
"350770248683645","house",2,0,1,"roomy","NO ANSWER",0,0,2511,21,1005
"350770248683645","house",4,0,2,"wooden","NO ANSWER",0,0,2513,21,1015
"350770248683645","person",0,1,4,"cruel","NO ANSWER",1,0,2513,21,1007
"350770248683645","house",2,0,5,"thatch","NO ANSWER",0,0,2506,21,1001
"350770248683645","house",4,0,1,"roomy","NO ANSWER",0,0,2515,21,1014
"350770248683645","person",1,1,2,"trustworthy","NO ANSWER",1,0,2507,23,1004
"350770248683645","house",1,0,3,"furnished","NO ANSWER",0,0,2506,21,1003
"350770248683645","person",2,1,0,"good","NO ANSWER",1,0,2504,21,1006
"350770248683645","house",3,0,5,"thatch","NO ANSWER",0,0,2504,23,1011
"350770248683645","person",3,1,0,"good","NO ANSWER",1,0,2506,22,1014
"350770248683645","house",0,0,4,"drafty","NO ANSWER",0,0,2507,23,1010
